Country,City,AccentCity,Region,Population,Latitude,Longitude
af,`ali kheyl,`Ali Kheyl,24,,36.697116,68.851365
af,bahadorgay,Bahadorgay,08,,33.183056,68.056944
af,bar-khankheyl',Bar-Khankheyl',37,,33.30201,69.777346
af,butah'i,Butah'i,05,,34.814257,66.855124
af,cal,Cal,27,,34.505057,68.037787
af,kudali,Kudali,29,,33.266111,68.864722
af,malek qyas kalay,Malek Qyas Kalay,18,,34.275501,70.031113
af,mu'menkhel,Mu'menkhel,08,,32.799713,67.752777
af,mukhammedadzhan-kot,Mukhammedadzhan-Kot,29,,32.92643,69.422562
af,qal'a-i-naw,Qal'a-i-Naw,19,,31.536224,62.758054
af,qal`eh-ye qowl-e heydar,Qal`eh-ye Qowl-e Heydar,08,,33.146022,67.504011
af,shinwari,Shinwari,03,,36.000837,68.570617
af,yak pahlu,Yak Pahlu,11,,34.334461,63.738327
af,zowli,Zowli,30,,36.656917,66.79588
al,gadurove,Gadurovë,44,,40.5186111,19.8488889
al,kashisht,Kashisht,44,,40.5983333,19.5405556
al,kopliku-e poshtem,Kopliku-e Poshtëm,49,,42.2136111,19.4363889
al,luniku,Luniku,43,,41.2891667,20.3236111
al,ngureza e madhe,Ngurëza e Madhe,44,,40.8261111,19.7163889
al,ples e zadrims,Ples e Zadrims,49,,41.9697222,19.5538889
al,trovne,Trovnë,49,,42.2208333,19.9297222
al,veseshte,Veseshtë,40,,40.5166667,20.2663889
am,ertich,Ertich,10,,39.7405556,45.2666667
am,shaab,Shaab,05,,40.2522222,44.6383333
ao,bango,Bango,07,,-16.383333,13.616667
ao,cambanzumbe,Cambanzumbe,17,,-8.216667,20.233333
ao,cassai-fana,Cassai-Fana,18,,-10.588912,21.969745
ao,chivanda,Chivanda,09,,-13.45,15.983333
ao,fazenda esperanca,Fazenda Esperança,12,,-9.433333,15.85
ar,rarro negro,Rarro Negro,10,,-24.3,-64.933333
at,badersdorf,Badersdorf,01,,47.2,16.366667
at,mirnig,Mirnig,02,,46.8,14.583333
at,obergassolding,Obergassolding,04,,48.216667,14.75
at,schlattenthal,Schlattenthal,03,,47.65,16.233333
au,cardigan village,Cardigan Village,07,,-37.51091,143.706161
au,sylvaterre,Sylvaterre,07,,-36.116667,144.233333
au,wiyarra,Wiyarra,04,,-28.266667,152.233333
az,hopurlu,Hopurlu,26,,40.03584,45.977294
az,kargalan,Kargalan,29,,38.746181,48.777724
az,kolkyshlak,Kolkyshlak,03,,40.116667,47.05
az,miadzhik,Miadzhik,01,,40.260833,49.438333
ba,dragan selo,Dragan Selo,01,,43.645,17.8033333
ba,laza,Laza,02,,43.2908333,18.5211111
ba,ustikolina,Ustikolina,01,4446,43.5836111,18.79
bd,ghaturia,Ghaturia,83,,24.9833333,89.1833333
bd,khagarjana,Khagarjana,81,,24.7333333,90.1666667
bd,mahmudkati,Mahmudkati,82,,22.6666667,89.3
bd,shahar ahmedpur,Shahar Ahmedpur,81,,24.7666667,90.6666667
bd,uttar chandkhana,Uttar Chandkhana,83,,25.85,89.0333333
be,calvenne,Calvenne,02,,51,4.716667
be,gammel,Gammel,01,,51.366667,4.766667
be,moereinde,Moereinde,01,,51.25,4.783333
be,sint-remigius-geest,Sint-Remigius-Geest,02,,50.75,4.866667
be,zand,Zand,02,,50.9,5.066667
bf,bobeta,Bobéta,69,,10.3666667,-3.5666667
bf,koudougou,Koudougou,19,86965,12.25,-2.3666667
bg,dimitur petkov,Dimitur Petkov,52,,43.7333333,27.1333333
bg,khambardzhilar,Khambardzhilar,43,,41.6166667,25.3833333
bg,obnova,Obnova,46,,43.4333333,24.9833333
bg,orchenlar,Orchenlar,52,,43.2333333,26.4833333
bg,rakovskovo,Rakovskovo,39,,42.8166667,27.75
bg,rebrevtsu,Rebrevtsu,46,,42.9,25.7666667
bg,sabol,Sabol,58,,42.8319444,22.5836111
bi,rurengera,Rurengera,11,,-3.1872222,30.6361111
bj,alafiarou,Alafiarou,10,,9.4,2.6833333
bo,cuchihilga,Cuchihilga,02,,-17.5833333,-65.2333333
bo,kullpachaca,Kullpachaca,07,,-19.1894444,-65.4277778
bo,la cueva chica,La Cueva Chica,01,,-20.9833333,-65.35
bo,lagunilla,Lagunilla,07,,-21.2333333,-65.65
bo,siraomonton,Siraomonton,01,,-19.8666667,-63.8
br,aterradinho,Aterradinho,14,,-16.95,-57.35
br,cajazeiras,Cajazeiras,22,,-6.483333,-38.1
br,curimatai,Curimataí,15,,-17.85,-43.983333
br,fazenda do canal,Fazenda do Canal,05,,-11.35,-41.666667
br,itajahi,Itajahi,26,,-26.883333,-48.65
br,marco prete,Marco Prete,06,,-3.983333,-40.316667
br,passagem,Passagem,15,,-19.283333,-43.216667
br,porto alegre,Pôrto Alegre,16,,-4.350278,-52.737778
br,quinzopolis,Quinzópolis,18,,-23.016667,-50.566667
br,tuneiras do oeste,Tuneiras do Oeste,18,,-23.816667,-52.916667
br,upamirim,Upamirim,05,,-10.466667,-41.25
br,urucu-mirim,Uruçu-Mirim,30,,-8.3,-35.6
by,bazilevka,Bazilevka,07,,55.5,29.05
by,peschanka,Peschanka,07,,54.9,30.2333333
by,volynets,Volynets,07,,55.7,28.1833333
by,wiejna,Wiejna,06,,54.55,27.7333333
ca,dorchester crossing,Dorchester Crossing,04,,46.166667,-64.566667
ca,saint-romuald,Saint-Romuald,10,,46.75,-71.233333
cd,busu-gbolonga,Busu-Gbolonga,00,,1.55,19.45
cd,diobo,Diobo,00,,2.266667,20.483333
cd,djiapanda,Djiapanda,09,,1.4,29.416667
cd,kamususomba,Kamususomba,00,,-6.583333,19.983333
cd,kembowala,Kembowala,02,,-6,17.833333
cd,koiekoie,Koiekoie,00,,-3.366667,23.25
cd,mapanda,Mapanda,00,,-6.666667,17.683333
cd,mulenda,Mulenda,05,,-5.116667,28.9
cf,bangaladeke,Bangaladéké,17,,4.6,18.3333333
ch,arconciel,Arconciel,06,,46.746348,7.124687
ch,jaggisbachau,Jaggisbachau,05,,46.96396,7.314665
ci,bofia,Bofia,81,,6.720045,-5.006264
ci,diamanbo,Diamanbo,83,,7.366234,-5.76568
ci,gitri,Gitri,88,,5.519518,-5.240379
ci,gounioube,Gounioubé,82,,5.393889,-4.146111
ci,korkana,Korkana,87,,9.588071,-5.010828
ci,kouenoufra,Kouénoufra,83,,6.816853,-5.777455
ci,mboka nguessan,Mboka Nguessan,74,,5.696907,-4.399312
ci,ouompleupleu,Ouompleupleu,78,,7.275385,-8.284204
ci,ouorosaniso,Ouorosaniso,75,,8.81597,-7.729201
ci,satiahary,Satiahary,81,,7.0475,-5.278333
cm,guendou,Guendou,12,,10.05,13.3166667
cm,hina-winde,Hina-Winde,12,,10.3333333,13.8666667
cm,mangengues,Mangengués,11,,3.5666667,10.7
cm,roum,Roum,11,,4.7333333,11.1333333
cn,beizhe,Beizhe,07,,23.904545,117.180579
cn,boniaoliangzi,Boniaoliangzi,32,,27.586911,102.53635
cn,cangqian,Cangqian,03,,26.762918,115.512334
cn,changyuho,Changyuho,24,,38.033333,113.183333
cn,chienyangtungtun,Chienyangtungtun,19,,39.9825,124.201389
cn,chingchiang,Chingchiang,32,,28.666667,103.966667
cn,chuchaichen,Chuchaichen,23,,31.21,121.287778
cn,chulin,Chulin,01,,33.141667,116.491667
cn,dadingmiao,Dadingmiao,25,,37.819167,117.347222
cn,dadipo,Dadipo,24,,39.181423,113.806135
cn,daotiejin,Daotiejin,26,,33.796955,106.997045
cn,datiankan,Datiankan,32,,28.662104,105.524478
cn,diaoya,Diaoya,09,,33.601134,112.001099
cn,donghuangnigang,Donghuangnigang,19,,41.113611,123.578056
cn,fujiutian,Fujiutian,30,,21.851963,110.158339
cn,ganpo,Ganpo,15,,35.350817,105.457115
cn,gaoqiaogou,Gaoqiaogou,26,,34.277172,107.4934
cn,heichiaotang,Heichiaotang,20,,41.396944,109.970278
cn,hengdaohezi,Hengdaohezi,05,,41.98507,127.117715
cn,hengshanxia,Hengshanxia,02,,30.114804,119.558857
cn,hojih,Hojih,06,,35.23178,100.986863
cn,houjiaping,Houjiaping,15,,33.196254,104.88896
cn,hsanghawng,Hsanghawng,29,,24.220852,97.786834
cn,huogusi,Huogusi,25,,35.029444,116.2725
cn,huomeichong,Huomeichong,11,,25.658611,112.15
cn,huxibei,Huxibei,07,,24.89095,116.767413
cn,jiajiapu,Jiajiapu,15,,35.682833,105.405902
cn,jiangtang,Jiangtang,02,,29.059295,119.450944
cn,jiuli,Jiuli,11,,29.694685,111.585702
cn,joerhkai,Joerhkai,32,,33.577954,102.964115
cn,kiucheng,Kiucheng,10,,38.188889,117.305556
cn,kuangshantsun,Kuangshantsun,10,,36.814722,114.175833
cn,laojunmiao,Laojunmiao,24,,39.296092,112.550023
cn,lichiaho,Lichiaho,26,,34.183333,110.3
cn,liumengpian,Liumengpian,31,,19.367391,110.330596
cn,malangou,Malangou,26,,33.34417,106.723814
cn,mansian,Mansian,15,,34.668074,104.482618
cn,maochang,Maochang,31,,19.489984,110.183741
cn,meixing,Meixing,32,,31.001069,102.36435
cn,namyung,Namyung,30,,25.116667,114.3
cn,nencheng,Nencheng,08,,49.183333,125.216667
cn,niuwanxu,Niuwanxu,30,,22.438852,112.842622
cn,panpanchiao,Panpanchiao,02,,30.384722,119.871389
cn,pinghsiho,Pinghsiho,26,,32.940514,106.435112
cn,pingle,Pingle,32,,29.013199,103.774636
cn,qiaogoucun,Qiaogoucun,26,,34.038151,109.600844
cn,renjia,Renjia,03,,28.661013,115.673105
cn,shanchungtsun,Shanchungtsun,24,,36.4,110.95
cn,shen,Shen,10,,38.008889,115.548056
cn,shihchichan,Shihchichan,11,,26.275278,111.433611
cn,shixi,Shixi,31,,19.243056,109.547467
cn,sotang,Sotang,14,,30.033333,95.25
cn,tsaiyuan,Tsaiyuan,05,,41.337513,125.712972
cn,tsaokota,Tsaokota,24,,34.919167,110.609444
cn,tuomu,Tuomu,32,,28.413721,103.069972
cn,wanshan,Wanshan,25,,36.574167,115.418333
cn,weiqu,Weiqu,26,,34.151111,108.945
cn,wenlongbao,Wenlongbao,26,,34.792778,108.957778
cn,wuguantang,Wuguantang,04,,31.661885,119.957061
cn,wuzi,Wuzi,15,,34.163942,103.272371
cn,xiaer,Xiaer,32,,29.005935,101.514394
